IDPERSON,SEXO,INDINOM,ANONAC,ANOMUE,EDAD,EDADREC,IDNIVEDU,CONDALFA,ESTACIV,RELIGION,IDIOMA,OCUPACI0,ORGANIZA,OCUPACIO,SITUACIO,AGENTE,AGENTERC,UBIGEONA,DEPNAC,DEPNA0,UBIGEO,DEPHEC,DEPHE0,PROVHEC,DISTHEC,AREA,REGION,PERIODO,TESTIMON,CEDAP,CVR,COMISEDH,CNDDHH,CICR,DEFPUEB,DP_ONG
0000061359,2,2,#NULL!,1991,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,0511080006,05,1,0511080006,05,1,0511,051108,0,1,4,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061364,2,1,1929,1985,56,6,1,1,2,1,2,1,#NULL!,1,2,1,1,0511080026,05,1,0511080026,05,1,0511,051108,0,1,2,1,0,1,0,0,0,0,0
0000061370,1,2,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,,,#NULL!,0505080041,05,1,0505,050508,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061372,2,1,#NULL!,1987,#NULL!,#NULL!,#NULL!,#NULL!,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0304090017,03,2,0304,030409,0,#NULL!,3,1,0,1,0,0,0,0,0
0000061376,2,2,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,7,4,,,#NULL!,0903110023,09,3,0903,090311,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061382,2,1,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0903110023,09,3,0903,090311,0,1,2,1,0,1,0,0,0,0,0
0000061385,2,2,1945,1985,40,5,3,2,2,1,2,6,#NULL!,6,2,2,1,0505040000,05,1,0505010023,05,1,0505,050501,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061394,2,2,#NULL!,1985,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,,,#NULL!,0510000000,05,1,0510,051000,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061400,2,1,1968,1985,17,2,4,2,1,1,2,#NULL!,#NULL!,#NULL!,1,2,1,0505010000,05,1,0505010023,05,1,0505,050501,0,1,2,1,0,1,0,1,0,0,0
0000061411,2,1,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,7,4,,,#NULL!,0903110023,09,3,0903,090311,0,1,2,1,0,1,0,0,0,0,0
0000061418,2,1,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,7,4,,,#NULL!,0903110023,09,3,0903,090311,0,1,2,1,0,1,0,0,0,0,0
0000061425,1,1,#NULL!,1989,#NULL!,#NULL!,1,1,2,1,2,1,#NULL!,1,1,1,1,1002050029,10,5,1002050029,10,5,1002,100205,0,2,4,1,0,1,0,0,0,0,0
0000061428,2,1,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,7,4,,,#NULL!,0903110023,09,3,0903,090311,0,1,2,1,0,1,0,0,0,0,0
0000061432,1,1,1972,1989,17,2,1,1,1,1,2,4,#NULL!,4,1,1,1,1002050029,10,5,1002050029,10,5,1002,100205,0,2,4,1,0,1,0,0,0,0,0
0000061436,1,3,1976,1989,13,2,1,1,1,1,1,#NULL!,#NULL!,#NULL!,1,1,1,1002050029,10,5,1002050029,10,5,1002,100205,0,2,4,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061440,2,1,#NULL!,1985,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,7,4,,,#NULL!,0903120015,09,3,0903,090312,0,1,2,1,0,1,0,0,0,0,0
