IDPERSON,SEXO,INDINOM,ANONAC,ANOMUE,EDAD,EDADREC,IDNIVEDU,CONDALFA,ESTACIV,RELIGION,IDIOMA,OCUPACI0,ORGANIZA,OCUPACIO,SITUACIO,AGENTE,AGENTERC,UBIGEONA,DEPNAC,DEPNA0,UBIGEO,DEPHEC,DEPHE0,PROVHEC,DISTHEC,AREA,REGION,PERIODO,TESTIMON,CEDAP,CVR,COMISEDH,CNDDHH,CICR,DEFPUEB,DP_ONG
0000061736,2,1,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,0501110001,05,1,0501010000,05,1,0501,050101,1,1,2,1,0,1,0,0,0,0,0
0000061748,2,1,1924,1984,60,7,#NULL!,#NULL!,2,1,2,1,#NULL!,1,2,2,1,0502010018,05,1,0502010006,05,1,0502,050201,0,1,2,2,0,1,0,0,0,0,0
0000061756,2,1,1969,1992,23,3,5,2,2,1,2,11,#NULL!,11,2,1,1,0506010000,05,1,0506010000,05,1,0506,050601,1,1,4,1,0,1,0,0,0,0,0
0000061762,2,2,#NULL!,1992,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,,,#NULL!,1501320000,15,10,1501,150132,1,4,4,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061774,2,1,1954,1996,42,5,5,2,2,1,1,3,#NULL!,3,1,7,4,1002050000,10,5,1006040001,10,5,1006,100604,1,2,5,1,0,1,0,0,0,0,0
0000061775,2,1,1958,1991,33,4,3,2,2,1,1,5,#NULL!,5,2,1,1,1001050000,10,5,1006040001,10,5,1006,100604,1,2,4,1,0,1,0,0,0,1,0
0000061777,1,1,1928,1988,60,7,1,1,2,1,2,4,#NULL!,4,2,3,2,0502010000,05,1,0502010018,05,1,0502,050201,0,1,3,2,0,1,0,0,0,0,0
0000061783,2,1,1962,1995,33,4,4,2,2,1,2,#NULL!,#NULL!,#NULL!,1,3,2,0502030001,05,1,1206080081,12,9,1206,120608,0,3,5,1,0,1,0,0,0,0,0
0000061784,2,1,1934,1991,57,6,4,2,2,1,2,1,4,8,1,3,2,0508060000,05,1,0508060000,05,1,0508,050806,0,1,4,1,0,1,0,0,0,0,0
0000061791,2,1,1959,1992,33,4,1,1,2,1,2,1,#NULL!,1,1,3,2,1011080001,10,5,1011080001,10,5,1011,101108,0,2,4,2,0,1,0,0,0,0,0
